SN,Paper Title,DOI,Domain,Year,umap_x,umap_y,cited_by_count,is_oa,oa_status,oa_url
343,Comparing scientific abstracts generated by ChatGPT to real abstracts with detectors and blinded human reviewers,https://doi.org/10.1038/s41746-023-00819-6,LLMs & NLP,2023,4.19547,0.47384033,638,True,gold,https://www.nature.com/articles/s41746-023-00819-6.pdf
344,Personalized Prompt Learning for Explainable Recommendation,https://doi.org/10.1145/3580488,Recommender Systems,2023,7.112711,0.9620575,150,False,closed,
345,Contrastive Self-supervised Learning in Recommender Systems: A Survey,https://doi.org/10.1145/3627158,Recommender Systems,2023,7.9000244,0.59031516,97,False,closed,
346,"ArguGPT: evaluating, understanding and identifying argumentative essays generated by GPT models",https://doi.org/10.48550/arxiv.2304.07666,LLMs & NLP,2023,4.922297,1.3022177,30,True,green,https://arxiv.org/pdf/2304.07666
347,Generative Visual Question Answering,https://doi.org/10.48550/arxiv.2307.10405,LLMs & NLP,2023,5.9782667,0.9246786,0,True,green,https://arxiv.org/pdf/2307.10405
348,Survey on Machine Learning Biases and Mitigation Techniques,https://doi.org/10.3390/digital4010001,General Fairness & Bias Mitigation,2023,5.800108,-2.4536912,62,True,diamond,https://doi.org/10.3390/digital4010001
349,Diversity-Promoting Ensemble for Medical Image Segmentation,https://doi.org/10.1145/3555776.3577682,Health & Clinical AI,2023,1.0859027,-1.7460462,22,False,closed,
350,Algorithmic fairness in computational medicine,https://doi.org/10.1016/j.ebiom.2022.104250,Health & Clinical AI,2022,1.549132,-3.1052694,142,True,gold,https://doi.org/10.1016/j.ebiom.2022.104250
351,A framework for the automatic description of healthcare processes in natural language: Application in an aortic stenosis integrated care process,https://doi.org/10.1016/j.jbi.2022.104033,Health & Clinical AI,2022,2.353427,-0.45598602,14,True,hybrid,https://doi.org/10.1016/j.jbi.2022.104033
352,Are Graph Representation Learning Methods Robust to Graph Sparsity and Asymmetric Node Information?,https://doi.org/10.48550/arxiv.2205.09648,Graph-Based Fairness & Bias Mitigation,2022,8.320769,-0.85768485,0,True,green,https://arxiv.org/pdf/2205.09648
353,EDITS: Modeling and Mitigating Data Bias for Graph Neural Networks,https://doi.org/10.1145/3485447.3512173,Graph-Based Fairness & Bias Mitigation,2022,8.391826,-0.67803264,118,True,bronze,https://dl.acm.org/doi/pdf/10.1145/3485447.3512173
354,Variational Reasoning about User Preferences for Conversational Recommendation,https://doi.org/10.1145/3477495.3532077,Recommender Systems,2022,8.257968,0.43393925,32,False,closed,
355,On the Dangers of Stochastic Parrots,https://doi.org/10.1145/3442188.3445922,LLMs & NLP,2021,4.6062326,1.0609541,5297,True,gold,https://doi.org/10.1145/3442188.3445922
356,Machine learning and algorithmic fairness in public and population health,https://doi.org/10.1038/s42256-021-00373-4,Health & Clinical AI,2021,6.0240993,-3.3613174,208,True,bronze,https://www.nature.com/articles/s42256-021-00373-4.pdf
357,Ethical Machine Learning in Healthcare,https://doi.org/10.1146/annurev-biodatasci-092820-114757,Health & Clinical AI,2021,1.8305185,-3.3262894,465,True,green,https://arxiv.org/pdf/2009.10576
358,Underdiagnosis bias of artificial intelligence algorithms applied to chest radiographs in under-served patient populations,https://doi.org/10.1038/s41591-021-01595-0,Health & Clinical AI,2021,1.5311843,-1.6787851,745,True,hybrid,https://www.nature.com/articles/s41591-021-01595-0.pdf
359,Addressing bias in big data and AI for health care: A call for open science,https://doi.org/10.1016/j.patter.2021.100347,Health & Clinical AI,2021,2.1050894,-2.103056,772,True,gold,http://www.cell.com/article/S2666389921002026/pdf
360,Moving beyond “algorithmic bias is a data problem”,https://doi.org/10.1016/j.patter.2021.100241,General Fairness & Bias Mitigation,2021,5.6069465,-2.5286486,165,True,gold,http://www.cell.com/article/S2666389921000611/pdf
361,A survey on datasets for fairness-aware machine learning,https://doi.org/10.1002/widm.1452,General Fairness & Bias Mitigation,2021,6.0409284,-2.1228497,40,True,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/widm.1452
363,Hidden in Plain Sight — Reconsidering the Use of Race Correction in Clinical Algorithms,https://doi.org/10.1056/nejmms2004740,Health & Clinical AI,2020,1.8371313,-2.6456535,1639,True,bronze,https://www.nejm.org/doi/pdf/10.1056/NEJMms2004740?articleTools=true
364,Ethical limitations of algorithmic fairness solutions in health care machine learning,https://doi.org/10.1016/s2589-7500(20)30065-0,Health & Clinical AI,2020,1.8527459,-3.375841,258,True,gold,http://www.thelancet.com/article/S2589750020300650/pdf
365,Model Cards for Model Reporting,https://doi.org/10.1145/3287560.3287596,General Fairness & Bias Mitigation,2019,0.98123187,-2.708686,1605,True,green,https://arxiv.org/pdf/1810.03993
366,Dissecting racial bias in an algorithm used to manage the health of populations,https://doi.org/10.1126/science.aax2342,Health & Clinical AI,2019,2.1103857,-2.787774,5913,True,gold,https://escholarship.org/content/qt6h92v832/qt6h92v832.pdf?t=q5l8ac
367,The Measure and Mismeasure of Fairness,https://doi.org/10.48550/arxiv.1808.00023,General Fairness & Bias Mitigation,2018,6.4972453,-3.6658325,474,True,green,https://arxiv.org/pdf/1808.00023
368,Fairness definitions explained,https://doi.org/10.1145/3194770.3194776,General Fairness & Bias Mitigation,2018,5.9210696,-3.6835277,1046,False,closed,
369,Word embeddings quantify 100 years of gender and ethnic stereotypes,https://doi.org/10.1073/pnas.1720347115,LLMs & NLP,2018,5.285635,-0.32778898,1081,True,green,https://arxiv.org/pdf/1711.08412
370,AI can be sexist and racist — it’s time to make it fair,https://doi.org/10.1038/d41586-018-05707-8,General Fairness & Bias Mitigation,2018,5.1305757,-2.9760098,745,True,hybrid,https://www.nature.com/magazine-assets/d41586-018-05707-8/d41586-018-05707-8.pdf
371,Ensuring Fairness in Machine Learning to Advance Health Equity,https://doi.org/10.7326/m18-1990,Health & Clinical AI,2018,1.6905743,-3.178975,1134,True,green,https://www.ncbi.nlm.nih.gov/pmc/articles/6594166
372,"The accuracy, fairness, and limits of predicting recidivism",https://doi.org/10.1126/sciadv.aao5580,General Fairness & Bias Mitigation,2018,5.6158996,-1.851492,1009,True,gold,https://advances.sciencemag.org/content/advances/4/1/eaao5580.full.pdf
373,Fair Prediction with Disparate Impact: A Study of Bias in Recidivism Prediction Instruments,https://doi.org/10.1089/big.2016.0047,General Fairness & Bias Mitigation,2017,5.661582,-1.9078465,158,True,bronze,https://www.liebertpub.com/doi/pdf/10.1089/big.2016.0047
374,Equality of Opportunity in Supervised Learning,https://doi.org/10.48550/arxiv.1610.02413,General Fairness & Bias Mitigation,2016,6.677026,-2.9287698,1915,True,green,https://arxiv.org/pdf/1610.02413
375,Big Data's Disparate Impact,https://doi.org/10.15779/z38bg31,General Fairness & Bias Mitigation,2016,4.839699,-4.1673894,1053,True,green,https://doi.org/10.15779/z38bg31
376,Man is to Computer Programmer as Woman is to Homemaker? Debiasing Word Embeddings,https://doi.org/10.48550/arxiv.1607.06520,LLMs & NLP,2016,5.4691005,-0.06318711,1362,True,green,https://arxiv.org/pdf/1607.06520
377,Fairness through awareness,https://doi.org/10.1145/2090236.2090255,General Fairness & Bias Mitigation,2012,6.3805604,-3.5077417,3331,False,closed,
378,“How Biased are Your Features?”: Computing Fairness Influence Functions with Global Sensitivity Analysis,https://doi.org/10.1145/3593013.3593983,General Fairness & Bias Mitigation,2023,6.5641966,-2.601035,8,True,gold,https://dl.acm.org/doi/pdf/10.1145/3593013.3593983
379,A Critical Survey on Fairness Benefits of Explainable AI,https://doi.org/10.1145/3630106.3658990,General Fairness & Bias Mitigation,2024,4.7918687,-3.01649,38,True,gold,https://dl.acm.org/doi/pdf/10.1145/3630106.3658990
380,A deep-learning method for the end-to-end prediction of intracranial aneurysm rupture risk,https://doi.org/10.1016/j.patter.2023.100709,Health & Clinical AI,2023,1.1005727,-1.7524481,20,True,gold,http://www.cell.com/article/S2666389923000466/pdf
381,A Framework for Assurance Audits of Algorithmic Systems,https://doi.org/10.1145/3630106.3658957,General Fairness & Bias Mitigation,2024,3.8551598,-3.6230896,25,True,gold,https://dl.acm.org/doi/pdf/10.1145/3630106.3658957
382,A scientometric analysis of fairness in health AI literature,https://doi.org/10.1371/journal.pgph.0002513,Health & Clinical AI,2024,1.7635146,-3.0627775,9,True,gold,https://journals.plos.org/globalpublichealth/article/file?id=10.1371/journal.pgph.0002513&type=printable
383,A scoping review of fair machine learning techniques when using real-world data,https://doi.org/10.1016/j.jbi.2024.104622,General Fairness & Bias Mitigation,2024,1.5581719,-2.6822941,40,True,hybrid,https://doi.org/10.1016/j.jbi.2024.104622
384,A Theory of Auditability for Allocation and Social Choice Mechanisms,https://doi.org/10.1145/3593013.3594017,General Fairness & Bias Mitigation,2023,6.2297053,-3.8794155,4,False,closed,
385,ACROCPoLis: A Descriptive Framework for Making Sense of Fairness,https://doi.org/10.1145/3593013.3594059,General Fairness & Bias Mitigation,2023,5.109435,-3.1959116,8,True,gold,https://dl.acm.org/doi/pdf/10.1145/3593013.3594059
386,Addressing Bias and Fairness in Machine Learning: A Practical Guide and Hands-on Tutorial,https://doi.org/10.1145/3580305.3599180,General Fairness & Bias Mitigation,2023,5.839403,-2.7083113,3,False,closed,
