"SN","corpus_doi","openalex_id","doi","title","year","cited_by_count","abstract","referenced_works","is_oa","oa_status","oa_url","openalex_authors","openalex_affiliations","openalex_countries","keywords"
"190","https://doi.org/10.1016/j.dss.2026.114653","https://openalex.org/W7132851204","https://doi.org/10.1016/j.dss.2026.114653","Mitigating algorithmic bias in credit scoring support systems through adversarial learning","2026","0","The use of recommender systems in the recruitment domain has been labeled as ‘high-risk’ in recent legislation. As a result, strict requirements regarding explainability and fairness have been put in place to ensure proper treatment of all involved stakeholders. To allow for stakeholder-specific explainability, while also handling highly heterogeneous recruitment data, we propose a novel explainable multi-stakeholder job recommender system using graph neural networks: the Occupational Knowledge-based Recommender using Attention (OKRA). The proposed method is capable of providing both candidate- and company-side recommendations and explanations. We find that OKRA performs substantially better than six baselines in terms of nDCG for two datasets. Furthermore, we find that the tested models show a bias toward candidates and vacancies located in urban areas. Overall, our findings suggest that OKRA provides a balance between accuracy, explainability, and fairness.","https://openalex.org/W147560515; https://openalex.org/W2020214980; https://openalex.org/W2048087720; https://openalex.org/W2051922388; https://openalex.org/W2133223948; https://openalex.org/W2979906316; https://openalex.org/W3049338919; https://openalex.org/W3092541244; https://openalex.org/W3118506129; https://openalex.org/W3125559914; https://openalex.org/W3128206571; https://openalex.org/W3134439870; https://openalex.org/W3170933632; https://openalex.org/W3182172753; https://openalex.org/W3201938571; https://openalex.org/W3211421449; https://openalex.org/W3211734646; https://openalex.org/W4206668658; https://openalex.org/W4223643457; https://openalex.org/W4280620691; https://openalex.org/W4286256890; https://openalex.org/W4291414590; https://openalex.org/W4361285150; https://openalex.org/W4390586102; https://openalex.org/W4398251646; https://openalex.org/W4398314221; https://openalex.org/W4400075243; https://openalex.org/W4401384199; https://openalex.org/W4403057995; https://openalex.org/W4412160953; https://openalex.org/W4413427422","False","closed","","Junye Lin; Liping Yang","Ocean University of China; University of Science and Technology of China","China; China","Adversarial system; Executable; Position paper; Personalization; Adversarial machine learning; Empirical research; Decision support system; Debiasing"
"191","https://doi.org/10.1016/j.nepr.2026.104756","https://openalex.org/W7128076871","https://doi.org/10.1016/j.nepr.2026.104756","Algorithmic bias and transparency in artificial intelligence tools for nursing education: A scoping review","2026","0","Machine learning based systems are reaching society at large and in many aspects of everyday life. This phenomenon has been accompanied by concerns about the ethical issues that may arise from the adoption of these technologies. ML fairness is a recently established area of machine learning that studies how to ensure that biases in the data and model inaccuracies do not lead to models that treat individuals unfavorably on the basis of characteristics such as e.g. race, gender, disabilities, and sexual or political orientation. In this manuscript, we discuss some of the limitations present in the current reasoning about fairness and in methods that deal with it, and describe some work done by the authors to address them. More specifically, we show how causal Bayesian networks can play an important role to reason about and deal with fairness, especially in complex unfairness scenarios. We describe how optimal transport theory can be used to develop methods that impose constraints on the full shapes of distributions corresponding to different sensitive attributes, overcoming the limitation of most approaches that approximate fairness desiderata by imposing constraints on the lower order moments or other functions of those distributions. We present a unified framework that encompasses methods that can deal with different settings and fairness criteria, and that enjoys strong theoretical guarantees. We introduce an approach to learn fair representations that can generalize to unseen tasks. Finally, we describe a technique that accounts for legal restrictions about the use of sensitive attributes.","https://openalex.org/W2024075610; https://openalex.org/W2068264290; https://openalex.org/W2891378911; https://openalex.org/W2901669506; https://openalex.org/W2981869278; https://openalex.org/W2990072080; https://openalex.org/W3001807593; https://openalex.org/W3214911045; https://openalex.org/W4200440018; https://openalex.org/W4221079197; https://openalex.org/W4280651558; https://openalex.org/W4281775820; https://openalex.org/W4291719085; https://openalex.org/W4304606367; https://openalex.org/W4304943299; https://openalex.org/W4306965485; https://openalex.org/W4307888124; https://openalex.org/W4313644512; https://openalex.org/W4318595767; https://openalex.org/W4323546023; https://openalex.org/W4323846876; https://openalex.org/W4367626063; https://openalex.org/W4381716616; https://openalex.org/W4383312437; https://openalex.org/W4387420891; https://openalex.org/W4390056019; https://openalex.org/W4390176311; https://openalex.org/W4390618356; https://openalex.org/W4391848861; https://openalex.org/W4392133781; https://openalex.org/W4392866787; https://openalex.org/W4393386770; https://openalex.org/W4394582474; https://openalex.org/W4400363354; https://openalex.org/W4400767613; https://openalex.org/W4402859566; https://openalex.org/W4405439405","False","closed","","Mohammad Ishtiaque Rahman","Thomas More University","USA","Transparency (behavior); Value (mathematics); Applications of artificial intelligence; Meaningful use"
"192","https://doi.org/10.1016/j.ject.2025.05.003","https://openalex.org/W4410946392","https://doi.org/10.1016/j.ject.2025.05.003","Implications of algorithmic bias in AI-driven emergency response systems","2025","0","In this paper, we introduce a framework to evaluate the economic implications of algorithmic bias specifically for the emergency response systems that incorporate AI. Unlike existing research, which mostly addresses technical or ethical aspects in isolation, our approach integrates economic theory with algorithmic fairness to quantify and systematically analyze how biases in data quality and algorithm design impact resource allocation efficiency, response time equity, healthcare outcomes, and social welfare. Using explicit modeling of emergency-specific variables, which includes time sensitivity and urgency, we demonstrate that biases substantially exacerbate demographic disparities. This could lead to delayed emergency responses, inefficient resource utilization, worsened health outcomes, and significant welfare losses. Our numerical simulations further illustrate the economic viability and effectiveness of bias mitigation strategies, such as fairness-constrained optimization and improved data representativeness, in simultaneously enhancing equity and economic efficiency. The framework presented provides policymakers, healthcare providers, and AI developers with actionable insights and a robust economic rationale for deploying equitable AI-driven solutions in emergency management contexts.","https://openalex.org/W2041216167; https://openalex.org/W2108875388; https://openalex.org/W2996102097; https://openalex.org/W4367675464; https://openalex.org/W4388074096; https://openalex.org/W4390595321; https://openalex.org/W4390608362; https://openalex.org/W4391188803; https://openalex.org/W4391843481; https://openalex.org/W4392620303; https://openalex.org/W4397003206; https://openalex.org/W4398768428; https://openalex.org/W4406937093; https://openalex.org/W4407615570; https://openalex.org/W6867234842; https://openalex.org/W6876137690","True","diamond","https://doi.org/10.1016/j.ject.2025.05.003","Katsiaryna Bahamazava","Department of Mathematical Sciences G.L. Lagrange, Politecnico di Torino","Italy","Emergency response; Computer science; Disaster response; Artificial intelligence; Emergency management; Medical emergency; Political science; Medicine"
"193","https://doi.org/10.1016/j.mlwa.2024.100525","https://openalex.org/W4391018561","https://doi.org/10.1016/j.mlwa.2024.100525","The Butterfly Effect in artificial intelligence systems: Implications for AI bias and fairness","2024","93","The concept of the Butterfly Effect, derived from chaos theory, highlights how seemingly minor changes can lead to significant, unpredictable outcomes in complex systems. This phenomenon is particularly pertinent in the realm of AI fairness and bias. Factors such as subtle biases in initial data, deviations during algorithm training, or shifts in data distribution from training to testing can inadvertently lead to pronounced unfair results. These results often disproportionately impact marginalized groups, reinforcing existing societal inequities. Furthermore, the Butterfly Effect can magnify biases in data or algorithms, intensify feedback loops, and heighten susceptibility to adversarial attacks. Recognizing the complex interplay within AI systems and their societal ramifications, it is imperative to rigorously scrutinize any modifications in algorithms or data inputs for possible unintended effects. This paper proposes a combination of algorithmic and empirical methods to identify, measure, and counteract the Butterfly Effect in AI systems. Our approach underscores the necessity of confronting these challenges to foster equitable outcomes and ensure responsible AI evolution.","https://openalex.org/W85350352; https://openalex.org/W1583059097; https://openalex.org/W1819662813; https://openalex.org/W2051267297; https://openalex.org/W2100960835; https://openalex.org/W2118978333; https://openalex.org/W2141394518; https://openalex.org/W2148143831; https://openalex.org/W2282821441; https://openalex.org/W2524301210; https://openalex.org/W2529251251; https://openalex.org/W2557671501; https://openalex.org/W2559655401; https://openalex.org/W2599025709; https://openalex.org/W2612637113; https://openalex.org/W2620038827; https://openalex.org/W2640329709; https://openalex.org/W2768894107; https://openalex.org/W2770618123; https://openalex.org/W2785011159; https://openalex.org/W2787955716; https://openalex.org/W2788481061; https://openalex.org/W2794022343; https://openalex.org/W2809878087; https://openalex.org/W2897042519; https://openalex.org/W2911634294; https://openalex.org/W2926555354; https://openalex.org/W2950468330; https://openalex.org/W2964031043; https://openalex.org/W2981869278; https://openalex.org/W3094239814; https://openalex.org/W3100279624; https://openalex.org/W3134501548; https://openalex.org/W3166112346; https://openalex.org/W3176952330; https://openalex.org/W3204423820; https://openalex.org/W4220820301; https://openalex.org/W4288083801; https://openalex.org/W4289258088; https://openalex.org/W4299687421; https://openalex.org/W4300072878; https://openalex.org/W4362656047; https://openalex.org/W4385468994; https://openalex.org/W4387559778; https://openalex.org/W4387835442; https://openalex.org/W4388996366; https://openalex.org/W4388997064; https://openalex.org/W4390229867; https://openalex.org/W6637162671; https://openalex.org/W6638208828; https://openalex.org/W6728484576; https://openalex.org/W6728551298; https://openalex.org/W6740085662; https://openalex.org/W6776192123; https://openalex.org/W6851427083","True","gold","https://doi.org/10.1016/j.mlwa.2024.100525","Emilio Ferrara","University of Southern California","USA","Realm; Butterfly effect; Adversarial system; Computer science; Unintended consequences; Phenomenon; Artificial intelligence; Machine learning; Epistemology; Political science; Law"
"194","https://doi.org/10.1016/j.copsyc.2024.101836","https://openalex.org/W4400216206","https://doi.org/10.1016/j.copsyc.2024.101836","Algorithmic bias: Social science research integration through the 3-D Dependable AI Framework","2024","15","Algorithmic bias has emerged as a critical challenge in the age of responsible production of artificial intelligence (AI). This paper reviews recent research on algorithmic bias and proposes increased engagement of psychological and social science research to understand antecedents and consequences of algorithmic bias. Through the lens of the 3-D Dependable AI Framework, this article explores how social science disciplines, such as psychology, can contribute to identifying and mitigating bias at the Design, Develop, and Deploy stages of the AI life cycle. Finally, we propose future research directions to further address the complexities of algorithmic bias and its societal implications.","https://openalex.org/W1819662813; https://openalex.org/W2006447892; https://openalex.org/W2095932468; https://openalex.org/W2550925836; https://openalex.org/W2623293810; https://openalex.org/W2788481061; https://openalex.org/W2885659818; https://openalex.org/W2922266810; https://openalex.org/W2953522645; https://openalex.org/W2963106283; https://openalex.org/W2981869278; https://openalex.org/W2984139605; https://openalex.org/W3012624518; https://openalex.org/W3033733989; https://openalex.org/W3092541244; https://openalex.org/W3103164731; https://openalex.org/W3116218009; https://openalex.org/W3128351871; https://openalex.org/W3137935792; https://openalex.org/W3141602314; https://openalex.org/W3165257673; https://openalex.org/W4210341086; https://openalex.org/W4213278005; https://openalex.org/W4221021671; https://openalex.org/W4221104163; https://openalex.org/W4237449883; https://openalex.org/W4248633940; https://openalex.org/W4283644487; https://openalex.org/W4306694042; https://openalex.org/W4365449190; https://openalex.org/W4377093829; https://openalex.org/W4386564359; https://openalex.org/W4388834460; https://openalex.org/W4391481267; https://openalex.org/W4394675493; https://openalex.org/W6638208828; https://openalex.org/W6748382702; https://openalex.org/W6753544986; https://openalex.org/W6755732534; https://openalex.org/W6765858885; https://openalex.org/W6790865617; https://openalex.org/W6791806234; https://openalex.org/W6796914627; https://openalex.org/W6799876756; https://openalex.org/W6804016447; https://openalex.org/W6809680140; https://openalex.org/W6851547589","True","hybrid","https://doi.org/10.1016/j.copsyc.2024.101836","Kalinda Ukanwa","University of California, Irvine","USA","Psychology; Psychological research; Through-the-lens metering; Data science; Cognitive science; Artificial intelligence; Social psychology; Computer science; Lens (geology)"
"195","https://doi.org/10.1016/j.tele.2024.102135","https://openalex.org/W4396793783","https://doi.org/10.1016/j.tele.2024.102135","EXplainable Artificial Intelligence (XAI) for facilitating recognition of algorithmic bias: An experiment from imposed users’ perspectives","2024","31","An increasing number of decisions regarding the daily lives of human beings are being controlled by artificial intelligence (AI) algorithms in spheres ranging from healthcare, transportation, and education to college admissions, recruitment, provision of loans and many more realms. Since they now touch on many aspects of our lives, it is crucial to develop AI algorithms that are not only accurate but also objective and fair. Recent studies have shown that algorithmic decision-making may be inherently prone to unfairness, even when there is no intention for it. This paper presents an overview of the main concepts of identifying, measuring and improving algorithmic fairness when using AI algorithms. The paper begins by discussing the causes of algorithmic bias and unfairness and the common definitions and measures for fairness. Fairness-enhancing mechanisms are then reviewed and divided into pre-process, in-process and post-process mechanisms. A comprehensive comparison of the mechanisms is then conducted, towards a better understanding of which mechanisms should be used in different scenarios. The paper then describes the most commonly used fairnessrelated datasets in this field. Finally, the paper ends by reviewing several emerging research sub-fields of algorithmic fairness.","https://openalex.org/W190293641; https://openalex.org/W1499137743; https://openalex.org/W1730560180; https://openalex.org/W1774372049; https://openalex.org/W1849190772; https://openalex.org/W1964590304; https://openalex.org/W1980260218; https://openalex.org/W1988913094; https://openalex.org/W2006125236; https://openalex.org/W2048077564; https://openalex.org/W2076978897; https://openalex.org/W2096016260; https://openalex.org/W2113635077; https://openalex.org/W2147047468; https://openalex.org/W2162484460; https://openalex.org/W2169760384; https://openalex.org/W2169820780; https://openalex.org/W2171900163; https://openalex.org/W2194775991; https://openalex.org/W2323945097; https://openalex.org/W2331276961; https://openalex.org/W2337019840; https://openalex.org/W2528950785; https://openalex.org/W2601530120; https://openalex.org/W2742108348; https://openalex.org/W2786763812; https://openalex.org/W2788481061; https://openalex.org/W2793560481; https://openalex.org/W2917767525; https://openalex.org/W2922704234; https://openalex.org/W2940680165; https://openalex.org/W2942109571; https://openalex.org/W2949472153; https://openalex.org/W2981731882; https://openalex.org/W2981869278; https://openalex.org/W2994898777; https://openalex.org/W2995523160; https://openalex.org/W2997309333; https://openalex.org/W2997468044; https://openalex.org/W3000616040; https://openalex.org/W3013952374; https://openalex.org/W3029022080; https://openalex.org/W3034720584; https://openalex.org/W3088785240; https://openalex.org/W3093033010; https://openalex.org/W3095444354; https://openalex.org/W3096454820; https://openalex.org/W3098522541; https://openalex.org/W3110850177; https://openalex.org/W3111670445; https://openalex.org/W3119347043; https://openalex.org/W3121787084; https://openalex.org/W3124654436; https://openalex.org/W3134562781; https://openalex.org/W3136620301; https://openalex.org/W3137457055; https://openalex.org/W3152436735; https://openalex.org/W3154300329; https://openalex.org/W3159369925; https://openalex.org/W3160887439; https://openalex.org/W3165883857; https://openalex.org/W3170933632; https://openalex.org/W3173188376; https://openalex.org/W3176133014; https://openalex.org/W3186611046; https://openalex.org/W3195947859; https://openalex.org/W3197347140; https://openalex.org/W3198965420; https://openalex.org/W3199500316; https://openalex.org/W3205290952; https://openalex.org/W3205332925; https://openalex.org/W3211639647; https://openalex.org/W3214204164; https://openalex.org/W4205852994; https://openalex.org/W4221104163; https://openalex.org/W4224438971; https://openalex.org/W4225607921; https://openalex.org/W4237859191; https://openalex.org/W4241415145; https://openalex.org/W4244314754; https://openalex.org/W4244728884; https://openalex.org/W4252380943; https://openalex.org/W4283391136; https://openalex.org/W4283731464; https://openalex.org/W4288058298; https://openalex.org/W4292289324; https://openalex.org/W4293098159; https://openalex.org/W4294636468; https://openalex.org/W4307570589; https://openalex.org/W4321786089; https://openalex.org/W4327620114; https://openalex.org/W4377818787; https://openalex.org/W4383105878; https://openalex.org/W4388010320; https://openalex.org/W4388530350; https://openalex.org/W4388624604; https://openalex.org/W4390822313; https://openalex.org/W6637644093; https://openalex.org/W6675359311; https://openalex.org/W6689908833; https://openalex.org/W6742072231; https://openalex.org/W6759934792; https://openalex.org/W6770935282; https://openalex.org/W6773951885; https://openalex.org/W6779093361; https://openalex.org/W6788017035; https://openalex.org/W6796928755; https://openalex.org/W6803786265; https://openalex.org/W6803916673; https://openalex.org/W6809846253; https://openalex.org/W6811317423; https://openalex.org/W6846697254; https://openalex.org/W6860737120","False","closed","","Ching‐Hua Chuan; Ruoyu Sun; Shiyun Tian; Wan‐Hsiu Sunny Tsai","University of Miami; University of Georgia; Sacred Heart University; University of Miami","USA; USA; USA; USA","Raising (metalworking); Computer science; Perception; Artificial intelligence; Cognitive psychology; Psychology; Mathematics"
"196","https://doi.org/10.1016/j.infsof.2025.107905","https://openalex.org/W4414675203","https://doi.org/10.1016/j.infsof.2025.107905","Towards early detection of algorithmic bias from dataset’s bias symptoms: An empirical study","2025","1","The rise of AI software has made fairness auditing essential, particularly where biased decisions have serious impacts. This entails identifying sensitive variables and calculating fairness metrics based on predictions from a baseline model. Since model training is computationally intensive, recent research focuses on early bias assessment to detect bias before extensive training starts. This paper presents an empirical study to evaluate how dataset statistics, named bias symptoms , can assist in the early identification of variables that may lead to bias in the system. The aim of this study is to avoid training a machine learning model before assessing - and, in case, mitigating - its bias, thus increasing the sustainability of the development process. We first identify a bias symptoms dataset, employing 24 datasets from diverse application domains commonly used in fairness auditing. Through extensive empirical analysis, we investigate the ability of these bias symptoms to predict variables associated with bias under three fairness definitions. Our results demonstrate that bias symptoms are effective in supporting early predictions of bias-inducing variables under specific fairness definitions. These findings offer valuable insights for practitioners and researchers, encouraging further exploration in developing methods for proactive bias mitigation involving bias symptoms.","https://openalex.org/W115710901; https://openalex.org/W1754136245; https://openalex.org/W2029199047; https://openalex.org/W2033079303; https://openalex.org/W2048957655; https://openalex.org/W2102636708; https://openalex.org/W2103459159; https://openalex.org/W2110480233; https://openalex.org/W2116984840; https://openalex.org/W2126552603; https://openalex.org/W2130486630; https://openalex.org/W2160824456; https://openalex.org/W2161349318; https://openalex.org/W2191943295; https://openalex.org/W2520801297; https://openalex.org/W2559655401; https://openalex.org/W2563852449; https://openalex.org/W2594899909; https://openalex.org/W2612690371; https://openalex.org/W2964461202; https://openalex.org/W2974817986; https://openalex.org/W3006682208; https://openalex.org/W3128630643; https://openalex.org/W3181414820; https://openalex.org/W3208528803; https://openalex.org/W4206319791; https://openalex.org/W4214835294; https://openalex.org/W4235762696; https://openalex.org/W4237859191; https://openalex.org/W4253752119; https://openalex.org/W4285451014; https://openalex.org/W4285490400; https://openalex.org/W4286447321; https://openalex.org/W4286750892; https://openalex.org/W4287252712; https://openalex.org/W4288058298; https://openalex.org/W4288356557; https://openalex.org/W4289293239; https://openalex.org/W4296186062; https://openalex.org/W4308643994; https://openalex.org/W4312158904; https://openalex.org/W4366379557; https://openalex.org/W4389685461; https://openalex.org/W4390117371; https://openalex.org/W4390570643; https://openalex.org/W4394769107; https://openalex.org/W4398239226; https://openalex.org/W4399607918; https://openalex.org/W4403413458; https://openalex.org/W4408043122; https://openalex.org/W4411551832; https://openalex.org/W4414675203","True","hybrid","https://doi.org/10.1016/j.infsof.2025.107905","Giordano d’Aloisio; Claudio Di Sipio; Antinisca Di Marco; Davide Di Ruscio","University of L'Aquila; University of L'Aquila; University of L'Aquila; University of L'Aquila","Italy; Italy; Italy; Italy","Empirical research; Identification (biology); Omitted-variable bias; Audit; Selection bias; Response bias; Gender bias; Baseline (sea)"
"197","https://doi.org/10.4018/JGIM.331755","https://openalex.org/W4387447054","https://doi.org/10.4018/jgim.331755","Human-Centric AI to Mitigate AI Biases","2023","32","The global health crisis represents an unprecedented opportunity for the development of artificial intelligence (AI) solutions. This article aims to tackle part of the biases in artificial intelligence by implementing a human-centric AI to help decision-makers in organizations. It relies on the results of two design science research (DSR) projects: SCHOPPER and VRAILEXIA. These two design projects operationalize the human-centric AI approach with two complementary stages: 1) the first installs a human-in-loop informed design process, and 2) the second implements a usage architecture that aggregates AI and humans. The proposed framework offers many advantages such as permitting to integrate of human knowledge into the design and training of the AI, providing humans with an understandable explanation of their predictions, and driving the advent of augmented intelligence that can turn algorithms into a powerful counterweight to human decision-making errors and humans as a counterweight to AI biases.","https://openalex.org/W1500693574; https://openalex.org/W1520685303; https://openalex.org/W1983479840; https://openalex.org/W1990797806; https://openalex.org/W2100495367; https://openalex.org/W2123306226; https://openalex.org/W2155806188; https://openalex.org/W2161336914; https://openalex.org/W2201744460; https://openalex.org/W2343909946; https://openalex.org/W2531099434; https://openalex.org/W2557671501; https://openalex.org/W2734256217; https://openalex.org/W2768184783; https://openalex.org/W2794429296; https://openalex.org/W2805310212; https://openalex.org/W2805992252; https://openalex.org/W2895763047; https://openalex.org/W2922720103; https://openalex.org/W2949474492; https://openalex.org/W2960630842; https://openalex.org/W2968770299; https://openalex.org/W2969625533; https://openalex.org/W2971625418; https://openalex.org/W2973318118; https://openalex.org/W3006087551; https://openalex.org/W3023070073; https://openalex.org/W3034344071; https://openalex.org/W3035156651; https://openalex.org/W3037276488; https://openalex.org/W3094793347; https://openalex.org/W3104020727; https://openalex.org/W3112562690; https://openalex.org/W3124761574; https://openalex.org/W3129794348; https://openalex.org/W3137057398; https://openalex.org/W3142805939; https://openalex.org/W3143422074; https://openalex.org/W3143519982; https://openalex.org/W3151685851; https://openalex.org/W3178738300; https://openalex.org/W3207333871; https://openalex.org/W3213921542; https://openalex.org/W4206997981; https://openalex.org/W4210289118; https://openalex.org/W4211217302; https://openalex.org/W4211255666; https://openalex.org/W4243775359; https://openalex.org/W4285746458; https://openalex.org/W4297182971; https://openalex.org/W4300962845; https://openalex.org/W4307572783; https://openalex.org/W4308467154; https://openalex.org/W4311995574","True","diamond","https://www.igi-global.com/ViewTitle.aspx?TitleId=331755&isxn=9798369300541","Antoine Harfouche; Bernard Quinio; Francesca Bugiotti","Université Paris Nanterre; Université Paris Nanterre; Centre National de la Recherche Scientifique","France; France; France","Operationalization; Computer science; Counterweight; Artificial intelligence; Human intelligence; Process (computing); Human-in-the-loop; Data science; Knowledge management; Engineering"
"198","https://doi.org/10.1016/j.caeai.2025.100425","https://openalex.org/W4410629650","https://doi.org/10.1016/j.caeai.2025.100425","Teaching AI awareness in middle school classrooms: Design, implementation and evaluation of two education modules on algorithmic bias and filter bubbles","2025","3","The nascent digital footprints of adolescents make them particularly susceptible to being misrepresented by AI systems. We design, implement, and evaluate two educational modules on the causes and consequences of two particularly salient types of AI misrepresentation: algorithmic biases and filter bubbles. We implement these modules in middle school math and computer science classrooms by integrating our materials with the existing curricula and curricular requirements of the partner school. This integration, as well as the many confounding factors of the classroom, are nontrivial problems that have heretofore not been considered in privacy education research and required us to adopt methodologies from learning sciences, particularly design-based research and backward design. Quantitative results of the pre-/post-test and qualitative assessments of open-ended questions find that students were engaged with the materials and exhibited substantial learning gains. The findings emphasize the need for tailored educational interventions and avenues for future research to address AI-related challenges.","https://openalex.org/W285696432; https://openalex.org/W1752694085; https://openalex.org/W1801920193; https://openalex.org/W1964338078; https://openalex.org/W1988942097; https://openalex.org/W1989630473; https://openalex.org/W1996537929; https://openalex.org/W2004303278; https://openalex.org/W2021937725; https://openalex.org/W2049657615; https://openalex.org/W2078564580; https://openalex.org/W2095932468; https://openalex.org/W2105143610; https://openalex.org/W2109882182; https://openalex.org/W2123427850; https://openalex.org/W2125771191; https://openalex.org/W2130744162; https://openalex.org/W2133467608; https://openalex.org/W2135503425; https://openalex.org/W2141190060; https://openalex.org/W2151789396; https://openalex.org/W2165344899; https://openalex.org/W2214169095; https://openalex.org/W2254135471; https://openalex.org/W2307677921; https://openalex.org/W2332851105; https://openalex.org/W2346730719; https://openalex.org/W2509048457; https://openalex.org/W2509389651; https://openalex.org/W2529508668; https://openalex.org/W2565683863; https://openalex.org/W2588944515; https://openalex.org/W2606167248; https://openalex.org/W2610965472; https://openalex.org/W2621141770; https://openalex.org/W2625526009; https://openalex.org/W2654569425; https://openalex.org/W2735937428; https://openalex.org/W2760062370; https://openalex.org/W2774648618; https://openalex.org/W2790886939; https://openalex.org/W2807882351; https://openalex.org/W2808494254; https://openalex.org/W2888723145; https://openalex.org/W2915135511; https://openalex.org/W2941382599; https://openalex.org/W2941555166; https://openalex.org/W2941915890; https://openalex.org/W2945720746; https://openalex.org/W2948288662; https://openalex.org/W2950068534; https://openalex.org/W2956066828; https://openalex.org/W2964603799; https://openalex.org/W2965058023; https://openalex.org/W2972342321; https://openalex.org/W3005057438; https://openalex.org/W3009449870; https://openalex.org/W3023517887; https://openalex.org/W3029022390; https://openalex.org/W3031082493; https://openalex.org/W3034531377; https://openalex.org/W3036215195; https://openalex.org/W3037662996; https://openalex.org/W3047690188; https://openalex.org/W3097551320; https://openalex.org/W3131646946; https://openalex.org/W3133423348; https://openalex.org/W3135354507; https://openalex.org/W3135903229; https://openalex.org/W3152734712; https://openalex.org/W3158875995; https://openalex.org/W3161501253; https://openalex.org/W3173188376; https://openalex.org/W3186319947; https://openalex.org/W3192744758; https://openalex.org/W3206004660; https://openalex.org/W3208235503; https://openalex.org/W3215201135; https://openalex.org/W4220820301; https://openalex.org/W4221033901; https://openalex.org/W4221081018; https://openalex.org/W4235474878; https://openalex.org/W4246917149; https://openalex.org/W4251230475; https://openalex.org/W4252689165; https://openalex.org/W4284711791; https://openalex.org/W4284891135; https://openalex.org/W4285519467; https://openalex.org/W4288359811; https://openalex.org/W4288682834; https://openalex.org/W4291476056; https://openalex.org/W4309618907; https://openalex.org/W4366550035; https://openalex.org/W4366551161; https://openalex.org/W4366586161; https://openalex.org/W4380442320; https://openalex.org/W4387344911; https://openalex.org/W4387606270; https://openalex.org/W4390229867; https://openalex.org/W4391650902; https://openalex.org/W4396832768; https://openalex.org/W4399667901; https://openalex.org/W4400191106; https://openalex.org/W4401115441; https://openalex.org/W6638312150; https://openalex.org/W6676147690; https://openalex.org/W6678709319; https://openalex.org/W6679619100; https://openalex.org/W6684469206; https://openalex.org/W6725367490; https://openalex.org/W6733809655; https://openalex.org/W6748382702; https://openalex.org/W6762773472; https://openalex.org/W6763703223; https://openalex.org/W6765634517; https://openalex.org/W6772816636; https://openalex.org/W6773845645; https://openalex.org/W6778241269; https://openalex.org/W6778369530; https://openalex.org/W6781702437; https://openalex.org/W6783120947; https://openalex.org/W6785274550; https://openalex.org/W6790951199; https://openalex.org/W6791361628; https://openalex.org/W6795401668; https://openalex.org/W6799743271; https://openalex.org/W6801770107; https://openalex.org/W6803898819; https://openalex.org/W6810348262; https://openalex.org/W6832776111; https://openalex.org/W6839469147; https://openalex.org/W6841225330; https://openalex.org/W6847464200; https://openalex.org/W6851524238; https://openalex.org/W6851986838; https://openalex.org/W6852092143; https://openalex.org/W6853562293; https://openalex.org/W6865985541; https://openalex.org/W6868939621; https://openalex.org/W6881987733; https://openalex.org/W6893415770; https://openalex.org/W6991993748; https://openalex.org/W7008727940; https://openalex.org/W7011569038; https://openalex.org/W7046214643","True","gold","https://doi.org/10.1016/j.caeai.2025.100425","Mehtab Iqbal; Khushbu Singh; Sushmita Khan; Oluwafemi Osho; Emily Sidnam-Mauch; Nicole A. Bannister; Kelly Caine; Bart P. Knijnenburg","Clemson University; Clemson University; Clemson University; Clemson University; Clemson University; Clemson University; Clemson University; Clemson University","USA; USA; USA; USA; USA; USA; USA; USA","Mathematics education; Filter (signal processing); Computer science; Artificial intelligence; Psychology; Computer vision"
"199","https://doi.org/10.1016/j.jaci.2024.12.921","https://openalex.org/W4407341257","https://doi.org/10.1016/j.jaci.2024.12.921","Fairness in precision medicine: Evaluating algorithmic bias in length of stay and readmission for asthma in the All of Us Research Program","2025","0","Neural Machine Translation (NMT) continues to improve in quality and adoption, yet the inadvertent perpetuation of gender bias remains a significant concern. Despite numerous studies on gender bias in translations into English from weakly gendered-languages, there are no benchmarks for evaluating this phenomenon or for assessing mitigation strategies. To address this gap, we introduce GATE X-E, an extension to the GATE (Rarrick et al., 2023) corpus, that consists of human translations from Turkish, Hungarian, Finnish, and Persian into English. Each translation is accompanied by feminine, masculine, and neutral variants. The dataset, which contains between 1250 and 1850 instances for each of the four language pairs, features natural sentences with a wide range of sentence lengths and domains, challenging translation rewriters on various linguistic phenomena. Additionally, we present a translation gender rewriting solution built with GPT-4 and use GATE X-E to evaluate it. We open source1 our contributions to encourage further research on gender debiasing.","","True","bronze","https://www.jacionline.org/article/S0091-6749(24)02208-5/pdf","Tesfaye B. Mersha; Esteban Correa-Agudelo; Yadu Gautam","Cincinnati Children's Hospital Medical Center; Cincinnati Children's Hospital Medical Center; Cincinnati Children's Hospital Medical Center","USA; USA; USA","Asthma; Precision medicine; Computer science; Medicine; Psychology; Internal medicine; Pathology"
