University,Focus Region,Domain,Count
Swinburne University of Technology,nan,Health & Clinical AI,1
TU Wien,nan,Recommender Systems,1
Tampere University,nan,LLMs & NLP,1
Technical University of Munich,nan,General Fairness & Bias Mitigation,2
Technion – Israel Institute of Technology,nan,Graph-Based Fairness & Bias Mitigation,1
Tel Aviv University,Global,General Fairness & Bias Mitigation,1
Tel Aviv University,USA,General Fairness & Bias Mitigation,1
Tel-Aviv University,Global,General Fairness & Bias Mitigation,1
Telkom University,nan,Recommender Systems,1
Texas A&M University,Global,LLMs & NLP,1
The Hebrew University of Jerusalem,Global,LLMs & NLP,1
The Hong Kong Polytechnic University,Global,Recommender Systems,1
The Ohio State University,Global,General Fairness & Bias Mitigation,1
The Open University,Global,Graph-Based Fairness & Bias Mitigation,1
The University of Melbourne,nan,General Fairness & Bias Mitigation,1
The University of Texas at Austin,nan,General Fairness & Bias Mitigation,1
The University of Texas at San Antonio Health Science Center,nan,Health & Clinical AI,1
Tianjin University,nan,Health & Clinical AI,1
Tianjin University,nan,Recommender Systems,1
Toronto Metropolitan University,nan,LLMs & NLP,1
Translational Therapeutics,Global,Health & Clinical AI,1
Transnational University Limburg,nan,Recommender Systems,1
Tsinghua University,nan,Health & Clinical AI,2
Tsinghua University,nan,LLMs & NLP,1
UC Berkeley,nan,General Fairness & Bias Mitigation,1
UC Riverside,Global,LLMs & NLP,1
UC San Diego,nan,LLMs & NLP,1
UCLA,Global,LLMs & NLP,1
UCLA,nan,LLMs & NLP,1
Ulm University,nan,General Fairness & Bias Mitigation,1
Umeå University,nan,General Fairness & Bias Mitigation,1
United States Food and Drug Administration,Global,Health & Clinical AI,1
Universidad Politécnica de Madrid,nan,General Fairness & Bias Mitigation,1
Universidad de La Sabana,nan,General Fairness & Bias Mitigation,1
Universidad de Salamanca,nan,Graph-Based Fairness & Bias Mitigation,1
Universidade Estadual de Campinas (UNICAMP),nan,General Fairness & Bias Mitigation,1
Universidade Federal de São Paulo,nan,Graph-Based Fairness & Bias Mitigation,1
Universidade Federal de São Paulo,nan,Health & Clinical AI,2
Universidade de Santiago de Compostela,nan,General Fairness & Bias Mitigation,1
Universitat Ramon Llull,Global,LLMs & NLP,1
Universitat de Barcelona,nan,Health & Clinical AI,1
University College Dublin,Global,General Fairness & Bias Mitigation,1
University College Dublin,nan,General Fairness & Bias Mitigation,1
University College Dublin,nan,LLMs & NLP,1
University College Dublin,nan,Recommender Systems,1
University College London,Global,General Fairness & Bias Mitigation,6
University College London,UK,General Fairness & Bias Mitigation,1
University Ferhat Abbas of Setif,nan,Recommender Systems,1
University of Alabama at Birmingham,nan,General Fairness & Bias Mitigation,1
University of Amsterdam,nan,LLMs & NLP,1
University of Antwerp,nan,General Fairness & Bias Mitigation,1
University of Arizona,nan,Recommender Systems,1
University of Basel,nan,General Fairness & Bias Mitigation,1
University of Bayreuth,nan,General Fairness & Bias Mitigation,1
University of Bern,nan,Health & Clinical AI,1
University of Bologna,nan,LLMs & NLP,2
University of Bucharest,nan,Health & Clinical AI,1
University of Cagliari,Global,Recommender Systems,1
University of California San Diego,nan,General Fairness & Bias Mitigation,1
"University of California, San Francisco",nan,Health & Clinical AI,1
University of Cambridge,nan,General Fairness & Bias Mitigation,3
University of Cambridge,nan,Health & Clinical AI,1
University of Cambridge,nan,LLMs & NLP,1
University of Central Florida,USA,Health & Clinical AI,1
University of Chicago,nan,General Fairness & Bias Mitigation,1
University of Chicago,nan,Health & Clinical AI,1
University of Cincinnati,nan,Health & Clinical AI,1
University of Cologne,nan,Health & Clinical AI,1
University of Colorado Boulder,nan,General Fairness & Bias Mitigation,1
University of Colorado Boulder,nan,Recommender Systems,3
"University of Colorado, Boulder",nan,Recommender Systems,1
University of Copenhagen,Global,LLMs & NLP,1
University of Copenhagen,nan,Recommender Systems,2
University of Delta Agbor,nan,General Fairness & Bias Mitigation,1
University of Denver,nan,General Fairness & Bias Mitigation,1
University of Florida,nan,General Fairness & Bias Mitigation,1
University of Florida,nan,Health & Clinical AI,1
