University,Domain,Count
Shanghai Normal University,LLMs & NLP,2
Shenyang University of Technology,Graph-Based Fairness & Bias Mitigation,1
Simula Research Laboratory,General Fairness & Bias Mitigation,1
Singapore Institute of Technology,General Fairness & Bias Mitigation,1
Sivas Cumhuriyet Üniversitesi,Recommender Systems,1
Société Générale,Graph-Based Fairness & Bias Mitigation,1
Southern University of Science and Technology,General Fairness & Bias Mitigation,1
St. Michael's Hospital,Health & Clinical AI,1
Stanford University,General Fairness & Bias Mitigation,6
Stanford University,LLMs & NLP,4
Stevens Institute of Technology,Recommender Systems,1
Stony Brook University,General Fairness & Bias Mitigation,1
Swinburne University of Technology,General Fairness & Bias Mitigation,1
Swinburne University of Technology,Health & Clinical AI,1
TU Wien,Recommender Systems,1
Tampere University,LLMs & NLP,1
Technical University of Munich,General Fairness & Bias Mitigation,2
Technical University of Munich,LLMs & NLP,2
Technion – Israel Institute of Technology,Graph-Based Fairness & Bias Mitigation,1
Tel Aviv University,General Fairness & Bias Mitigation,2
Tel-Aviv University,General Fairness & Bias Mitigation,1
Telkom University,Recommender Systems,1
Texas A&M University,LLMs & NLP,1
The Hebrew University of Jerusalem,LLMs & NLP,1
The Hong Kong Polytechnic University,Recommender Systems,1
The Ohio State University,General Fairness & Bias Mitigation,1
The Open University,Graph-Based Fairness & Bias Mitigation,1
The University of Melbourne,General Fairness & Bias Mitigation,1
The University of Queensland,General Fairness & Bias Mitigation,1
The University of Texas at Austin,General Fairness & Bias Mitigation,2
The University of Texas at San Antonio Health Science Center,Health & Clinical AI,1
The University of Western Australia,LLMs & NLP,1
Tianjin University,Health & Clinical AI,1
Tianjin University,Recommender Systems,1
Toronto Metropolitan University,LLMs & NLP,1
Translational Therapeutics,Health & Clinical AI,1
Transnational University Limburg,Recommender Systems,1
Trinity College Dublin,General Fairness & Bias Mitigation,1
Tsinghua University,Health & Clinical AI,2
Tsinghua University,LLMs & NLP,1
Twitter,General Fairness & Bias Mitigation,1
UC Berkeley,General Fairness & Bias Mitigation,1
UC Riverside,LLMs & NLP,1
UC San Diego,LLMs & NLP,1
UCLA,LLMs & NLP,3
Ulm University,General Fairness & Bias Mitigation,1
Umeå University,General Fairness & Bias Mitigation,1
Umeå University,LLMs & NLP,1
United States Food and Drug Administration,Health & Clinical AI,1
Universidad Politécnica de Madrid,General Fairness & Bias Mitigation,1
Universidad de La Sabana,General Fairness & Bias Mitigation,1
Universidad de Salamanca,Graph-Based Fairness & Bias Mitigation,1
Universidade Estadual de Campinas (UNICAMP),General Fairness & Bias Mitigation,2
Universidade Federal de São Paulo,Graph-Based Fairness & Bias Mitigation,1
Universidade Federal de São Paulo,Health & Clinical AI,2
Universidade de Santiago de Compostela,General Fairness & Bias Mitigation,1
Universitat Ramon Llull,LLMs & NLP,1
Universitat de Barcelona,Health & Clinical AI,1
University College Dublin,General Fairness & Bias Mitigation,2
University College Dublin,LLMs & NLP,1
University College Dublin,Recommender Systems,1
University College London,General Fairness & Bias Mitigation,8
University Ferhat Abbas of Setif,Recommender Systems,1
University of Alabama at Birmingham,General Fairness & Bias Mitigation,1
University of Amsterdam,LLMs & NLP,1
University of Amsterdam,Recommender Systems,1
University of Antwerp,General Fairness & Bias Mitigation,1
University of Arizona,Recommender Systems,1
University of Basel,General Fairness & Bias Mitigation,1
University of Bayreuth,General Fairness & Bias Mitigation,1
University of Bern,General Fairness & Bias Mitigation,1
University of Bern,Health & Clinical AI,1
University of Bologna,LLMs & NLP,2
University of Bucharest,Health & Clinical AI,1
University of Cagliari,Recommender Systems,1
University of California Berkeley,General Fairness & Bias Mitigation,1
University of California Davis,General Fairness & Bias Mitigation,1
University of California San Diego,General Fairness & Bias Mitigation,2
University of California San Diego,LLMs & NLP,1
"University of California, San Francisco",Health & Clinical AI,1
"University of California, Santa Barbara",General Fairness & Bias Mitigation,1
University of Cambridge,General Fairness & Bias Mitigation,7
University of Cambridge,Health & Clinical AI,2
University of Cambridge,LLMs & NLP,1
University of Central Florida,Health & Clinical AI,1
University of Chicago,General Fairness & Bias Mitigation,2
University of Chicago,Health & Clinical AI,1
University of Cincinnati,Health & Clinical AI,1
University of Cologne,Health & Clinical AI,1
University of Colorado Boulder,General Fairness & Bias Mitigation,2
University of Colorado Boulder,LLMs & NLP,1
University of Colorado Boulder,Recommender Systems,4
"University of Colorado, Boulder",Recommender Systems,1
University of Copenhagen,LLMs & NLP,1
University of Copenhagen,Recommender Systems,2
University of Delaware,Health & Clinical AI,1
University of Delta Agbor,General Fairness & Bias Mitigation,1
University of Denver,General Fairness & Bias Mitigation,1
University of Duisburg-Essen,LLMs & NLP,1
University of Edinburgh,LLMs & NLP,1
University of Florida,General Fairness & Bias Mitigation,1
University of Florida,Health & Clinical AI,1
University of Florida Health,General Fairness & Bias Mitigation,1
University of Fribourg,Recommender Systems,1
University of Genoa,General Fairness & Bias Mitigation,1
University of Ghent,General Fairness & Bias Mitigation,1
University of Hong Kong,General Fairness & Bias Mitigation,1
University of Hong Kong,LLMs & NLP,1
University of Illinois Chicago,General Fairness & Bias Mitigation,1
University of Illinois Chicago,Health & Clinical AI,2
University of Illinois Chicago,LLMs & NLP,1
University of Illinois Urbana-Champaign,General Fairness & Bias Mitigation,2
University of Illinois Urbana-Champaign,Recommender Systems,1
University of Iowa,General Fairness & Bias Mitigation,1
University of Johannesburg,Health & Clinical AI,1
University of Kuala Lumpur,LLMs & NLP,1
University of Leicester,Health & Clinical AI,1
University of Liverpool,LLMs & NLP,1
University of Macau,LLMs & NLP,1
University of Malaya,General Fairness & Bias Mitigation,1
University of Mannheim,General Fairness & Bias Mitigation,1
University of Massachusetts Amherst,General Fairness & Bias Mitigation,2
University of Massachusetts Boston,General Fairness & Bias Mitigation,1
University of Melbourne,LLMs & NLP,1
University of Michigan,General Fairness & Bias Mitigation,11
University of Michigan,Health & Clinical AI,2
University of Michigan,LLMs & NLP,1
University of Milano-Bicocca,General Fairness & Bias Mitigation,1
University of Minnesota,General Fairness & Bias Mitigation,1
University of Minnesota,Health & Clinical AI,1
University of Nebraska at Omaha,Recommender Systems,1
University of New Haven,LLMs & NLP,1
University of North Carolina at Chapel Hill,LLMs & NLP,1
University of Notre Dame,General Fairness & Bias Mitigation,2
University of Notre Dame,LLMs & NLP,1
University of Nottingham,Health & Clinical AI,1
University of Oxford,General Fairness & Bias Mitigation,5
University of Oxford,Graph-Based Fairness & Bias Mitigation,1
University of Oxford,Health & Clinical AI,2
University of Oxford,LLMs & NLP,2
University of Padua,General Fairness & Bias Mitigation,1
University of Pennsylvania,General Fairness & Bias Mitigation,3
University of Pennsylvania,LLMs & NLP,1
University of Pisa,General Fairness & Bias Mitigation,2
University of Pisa,LLMs & NLP,1
University of Pittsburgh,Health & Clinical AI,1
