SN,Paper Title,Domain,Year,cited_by_count,in_degree_corpus,out_degree_corpus
355,Racial Bias in Pulse Oximetry Measurement,Health & Clinical AI,2020,995,4,0
259,Is ChatGPT Fair for Recommendation? Evaluating Fairness in Large Language Model Recommendation,Recommender Systems,2023,124,4,1
269,Fairness metrics and bias mitigation strategies for rating predictions,Recommender Systems,2021,45,4,7
454,An Empirical Analysis of Racial Categories in the Algorithmic Fairness Literature,General Fairness & Bias Mitigation,2023,15,4,4
567,Exploring How Machine Learning Practitioners (Try To) Use Fairness Toolkits,General Fairness & Bias Mitigation,2022,89,4,7
544,"One Label, One Billion Faces: Usage and Consistency of Racial Categories in Computer Vision",General Fairness & Bias Mitigation,2021,10,3,3
23,Ignorance and Prejudice in Software Fairness,General Fairness & Bias Mitigation,2021,69,3,7
332,Fairness of artificial intelligence in healthcare: review and recommendations,Health & Clinical AI,2023,497,3,3
587,Achieving Fairness via Post-Processing in Web-Scale Recommender Systems,Recommender Systems,2022,22,3,6
580,Bias in Automated Speaker Recognition,LLMs & NLP,2022,44,3,0
662,Akal Badi ya Bias: An Exploratory Study of Gender Bias in Hindi Language Technology,LLMs & NLP,2024,9,3,3
170,When Fairness meets Bias: a Debiased Framework for Fairness aware Top-N Recommendation,Recommender Systems,2023,27,3,2
559,Avoiding Disparity Amplification under Different Worldviews,General Fairness & Bias Mitigation,2021,22,3,5
389,Bias Discovery in Machine Learning Models for Mental Health,Health & Clinical AI,2022,27,3,1
149,An Ontology for Fairness Metrics,Graph-Based Fairness & Bias Mitigation,2022,31,3,2
643,The Four-fifths Rule is not Disparate Impact: A Woeful Tale of Epistemic Trespassing in Algorithmic Fairness,General Fairness & Bias Mitigation,2024,7,3,5
595,Evidence for Hypodescent in Visual Semantic AI,General Fairness & Bias Mitigation,2022,15,3,3
653,"Large Language Models Portray Socially Subordinate Groups as More Homogeneous, Consistent with a Bias Observed in Humans",LLMs & NLP,2024,38,3,3
539,Data in New Delhi's Predictive Policing System,General Fairness & Bias Mitigation,2020,50,3,1
588,Providing Item-Side Individual Fairness for Deep Recommender Systems,Recommender Systems,2022,21,3,2
60,Representation Bias in Data: A Survey on Identification and Resolution Techniques,General Fairness & Bias Mitigation,2023,101,3,8
429,Toward fairness in artificial intelligence for medical image analysis: identification and mitigation of potential biases in the roadmap from data collection to model deployment,Health & Clinical AI,2023,125,3,6
541,Differential Tweetment,General Fairness & Bias Mitigation,2021,31,3,3
563,Fair Clustering via Equitable Group Representations,General Fairness & Bias Mitigation,2021,48,3,3
609,Multi-Dimensional Discrimination in Law and Machine Learning: A Comparative Overview,General Fairness & Bias Mitigation,2023,20,3,8
6,Algorithmic bias in data-driven innovation in the age of AI,General Fairness & Bias Mitigation,2021,403,3,2
666,Recommend Me? Designing Fairness Metrics with Providers,Recommender Systems,2024,13,3,2
583,"De-biasing ""Bias"" Measurement",General Fairness & Bias Mitigation,2022,28,2,1
478,Disambiguating Algorithmic Bias: From Neutrality to Justice,General Fairness & Bias Mitigation,2023,26,2,12
456,Bias as Boundary Object: Unpacking The Politics Of An Austerity Algorithm Using Bias Frameworks,General Fairness & Bias Mitigation,2023,4,2,2
482,Not So Fair: The Impact of Presumably Fair Machine Learning Models,General Fairness & Bias Mitigation,2023,6,2,3
457,Skin Deep: Investigating Subjectivity in Skin Tone Annotations for Computer Vision Benchmark Datasets,General Fairness & Bias Mitigation,2023,15,2,1
488,Datafication Genealogies beyond Algorithmic Fairness: Making Up Racialised Subjects,General Fairness & Bias Mitigation,2023,17,2,1
486,The Illusion of Artificial Inclusion,General Fairness & Bias Mitigation,2024,55,2,3
